school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
FAIRFIELD METHODIST SCHOOL (SECONDARY),http://www.fairfieldmethodistsec.moe.edu.sg,102  DOVER ROAD,139649,67788702,na,67797482,na,FMSS@MOE.EDU.SG,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MS CHEN LI YING AUDREY,MR LIM SIN HENG,MR LIM YONG CHAI ALAN,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil
FAJAR SECONDARY SCHOOL,http://www.fajarsec.moe.edu.sg,31   GANGSA ROAD,678972,67691491,na,67633025,na,FAJAR_SS@MOE.EDU.SG,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 75A, 170, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 973, 973A, 975, 976, 979",MISS HO SOOK FUN DORIS,MS CHOO WAN XIAN,MR NGOH SING KIEN ARTHUR,NULL,NULL,NULL,NULL,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
FARRER PARK PRIMARY SCHOOL,http://www.farrerparkpri.moe.edu.sg,2    FARRER PARK ROAD,217567,62952272,na,62942272,na,fpps@moe.edu.sg,Farrer Park MRT Station,131,MISS CHEONG HWEE KHIM,MR RAMESH MUKUNDHAN,NULL,NULL,NULL,NULL,NULL,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FENGSHAN PRIMARY SCHOOL,http://www.fengshanpri.moe.edu.sg,307  BEDOK NORTH ROAD,469680,65860123,na,65860122,na,fsps@moe.edu.sg,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",MR POH CHEE YANG,MDM LAI KAI CHING,MR LEE MIN SEN,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FERN GREEN PRIMARY SCHOOL,www.ferngreenpri.moe.edu.sg,70   Fernvale Link,797538,68343100,na,68343116,na,ferngreen_ps@moe.edu.sg,Kupang LRT Station (SW3),"85, 102",MRS TANG- CHIM LEE MAI,MR SEE KOK KIONG,MDM KYLICIA SOO GEOK LING,NULL,NULL,NULL,NULL,SENG KANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FERNVALE PRIMARY SCHOOL,www.fernvalepri.moe.edu.sg,1    Fernvale Lane,797701,63153051,na,63153067,na,fernvale_ps@moe.edu.sg,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",MDM BALAKRISHNA VYJANTHIMALA,MISS YAP AI LI,MR YAP LIH MIN SAMUEL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FIRST TOA PAYOH PRIMARY SCHOOL,http://www.firsttoapayohpri.moe.edu.sg,7    LORONG 8 TOA PAYOH,319252,62567822,na,62561102,na,FTPPS@MOE.EDU.SG,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",MR CHUA CHOON GUAN,MDM LOW LEE CHERN,NULL,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20   Jurong West Street 61,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),"241, 974, 179",MDM LEE YEW KOON TONNINE,MDM CHAN YEE CHIN WILNA,MDM DAPHNE CHAN PEI SZE,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FUCHUN PRIMARY SCHOOL,http://www.fuchunpri.moe.edu.sg,23   WOODLANDS AVENUE 1,739063,63683925,na,63670117,na,FCPS@MOE.EDU.SG,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",MRS EUNICE LIM,MISS LIM PEI LIN OLIVIA,MR TAN CHIN KEE,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FUCHUN SECONDARY SCHOOL,http://www.fuchunsec.moe.edu.sg,21   WOODLANDS AVENUE 1,739062,63681984,na,63670180,na,fcss@moe.edu.sg,"MARSILING MRT, WOODLANDS MRT","187, 856, 912, 913M, 925, 925M, 926, 950, 960, 960E, 961, 961M, 963, 963E, 963R, 966, 912B, 912M",MDM ONG BEE LIAN DORIS,"MR SIM KOK HIAN, KENNETH",MR KWAN YEW MENG,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
FUHUA PRIMARY SCHOOL,http://www.fuhuapri.moe.edu.sg,65   JURONG EAST STREET 13,609647,65624370,na,65639542,na,fhps@moe.edu.sg,JURONG EAST MRT STATION,"JURONG EAST CENTRAL (BS28441): 41,49,52,105,160,160A,160M,176,183,334,506    JURONG EAST CENTRAL (BS28431):51,66,78,79,143, 143M, 176, 335",MR GANESAN S/O RAMAN,MDM TEO SIEW KHIM,NULL,NULL,NULL,NULL,NULL,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
FUHUA SECONDARY SCHOOL,http://www.fuhuasec.moe.edu.sg,5    JURONG WEST STREET 41,649410,65633067,na,65634379,na,FHSS@MOE.EDU.SG,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",MISS FOONG LAI LEONG,MR SIM HOW CHONG,MRS SHAIMA ANSHAD,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
GAN ENG SENG PRIMARY SCHOOL,http://www.ganengsengpri.moe.edu.sg,100  REDHILL CLOSE,158901,64717451,na,64794152,na,gesps@moe.edu.sg,Redhill,"14, 63, 147, 196, 197, 855, 961","MR LEE WEI YAP, ROY",MDM RINA D/O BHASI,NULL,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
GAN ENG SENG SCHOOL,http://www.ganengsengsch.moe.edu.sg,1    HENDERSON ROAD,159561,64745594,na,64732479,na,GESS@MOE.EDU.SG,"REDHILL MRT, TIONG BAHRU MRT","14, 16, 32, 33, 51, 63, 64, 120, 122, 145, 139, 186, 851, 970",MISS TAN HWEE PIN,MR CHUNG KWOK LEONG DANIEL,MDM SARAWATHY D/O VARADARAJU,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
GEYLANG METHODIST SCHOOL (PRIMARY),www.geylangmethodistpri.moe.edu.sg,4    Geylang East Central,389706,67486746,na,67488980,na,GMSP@moe.edu.sg,Aljunied,"80, 134, 155",MDM JENNIFER HAN ENG JUAN,MR LUA EE PING,NULL,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
GEYLANG METHODIST SCHOOL (SECONDARY),http://www.geylangmethodistsec.moe.edu.sg,2    GEYLANG EAST CENTRAL,389705,67466503,na,67477317,na,gmss@moe.edu.sg,ALJUNIED MRT,"40, 62, 63, 80, 100, 125, 134, 155, 158",MR WEE TAT CHUEN,MDM LOY WEE MENG,MR LEW KING LUN JULIAN,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
GONGSHANG PRIMARY SCHOOL,http://www.gongshangpri.moe.edu.sg,1    TAMPINES STREET 42,529176,67831191,na,67880004,na,GSPS@MOE.EDU.SG,Tampines (Downtown Line and East West Line) and Tampines East (Downtown Line),"4, 8, 18, 19, 21, 37, 38, 81, 293",MDM LIM TZYY SHIUAN,MRS SELINA LEE,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na
GREENDALE PRIMARY SCHOOL,http://www.greendalepri.moe.edu.sg,50   Edgedale Plains,828848,68861413,na,68861419,na,greendale_ps@moe.edu.sg,Punggol LRT:  Coral Edge,"3,62, 83, 85, 386",MDM NG SOH HUA,MDM SEING JEE CHING JASMINE,MR TAN SIAN YEOW TERENCE,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
GREENDALE SECONDARY SCHOOL,http://www.greendalesec.moe.edu.sg,51   EDGEDALE PLAINS,828866,63158616,na,63158420,na,greendale_ss@moe.edu.sg,"PUNGGOL MRT, MERIDIAN LRT","3, 62, 83, 85, 136, 386",MISS NG AMY,MR LOH CHIH HUI,MRS ANNE CHAN,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
GREENRIDGE PRIMARY SCHOOL,http://www.greenridgepri.moe.edu.sg,11   JELAPANG ROAD,677744,67604265,na,67620189,na,GRPS@MOE.EDU.SG,"Senja LRT station, Jelapang LRT Station","Bus 920, 922, 972",MDM ONG FEI MIN,MDM GOH LUNG ENG,NULL,NULL,NULL,NULL,NULL,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
GREENRIDGE SECONDARY SCHOOL,http://www.greenridgesec.moe.edu.sg,32   BUKIT PANJANG RING ROAD,679938,67601052,na,67628334,na,gss@moe.edu.sg,BANGKIT LRT,"722, 920, 922, 971, 972, 972M, 976",MDM KOH HOON CHOO JESSIE,MRS FIRDOUSE-DALINA ABDULLAH,NULL,NULL,NULL,NULL,NULL,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
GREENWOOD PRIMARY SCHOOL,http://www.greenwoodpri.moe.edu.sg,11   WOODLANDS  DR  62,737942,63666158,na,63666159,na,greenwood_ps@moe.edu.sg,Admiralty MRT Station,"912, 913, 962",MDM TANG PEI LU TRICILIA,MR SATHYA PRASAD S/O G,"MR LEE HUAN SIAK, JAMES",NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
GUANGYANG PRIMARY SCHOOL,http://www.guangyangpri.moe.edu.sg,6    Bishan Street 12,579806,62580455,na,62580010,na,GYPS@MOE.EDU.SG,Bishan MRT,"13,52,54,55,56,57,59,88,93,156,157,163,410",MR LAU ENOCH,MR HO SENG TAT SUNNY,NULL,NULL,NULL,NULL,NULL,BISHAN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
GUANGYANG SECONDARY SCHOOL,http://guangyangsec.moe.edu.sg,8    BISHAN STREET 12,579807,62589781,na,63543108,na,gyss@moe.edu.sg,BISHAN MRT,"13, 56, 57, 59, 71, 88, 93, 157, 163, 410",MR LIM HOCK CHUAN ALVIN,MR KOH LIP KANG,NULL,NULL,NULL,NULL,NULL,BISHAN,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
HAI SING CATHOLIC SCHOOL,http://www.haisingcatholic.moe.edu.sg,9    PASIR RIS DRIVE 6,519421,65827864,na,65822543,na,HSHS@MOE.EDU.SG,PASIR RIS MRT,"3, 5, 6, 12, 17, 21, 89, 354, 358",MR ANG TECK SIANG DANIEL,MRS TEO-TAY CHAI HONG,MISS SHEREEN WONG MINGRUI,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
HAIG GIRLS' SCHOOL,http://www.haiggirls.moe.edu.sg,51   Koon Seng Road,427072,63440293,na,64474169,na,HAIGGIRLSSCH@MOE.EDU.SG,"Eunos, Dakota","16,33",MISS LO YEN NIE,MISS PHUA AI LEI,MDM LEE LI LI,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
HENRY PARK PRIMARY SCHOOL,http://www.henryparkpri.moe.edu.sg,1    HOLLAND GROVE ROAD,278790,64663600,na,64691840,na,HPPS@MOE.EDU.SG,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92","MR KOH CHIN THONG, MARTIN",MDM WONG SU MAY,MR CHUA CHYE HOCK,NULL,NULL,NULL,NULL,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil
HILLGROVE SECONDARY SCHOOL,http://www.hillgrovesec.moe.edu.sg,10   BUKIT BATOK STREET 52,659250,65603726,na,65630920,na,HILLGROVE_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","176, 985, 945",MDM ONG HUI MIIN ANGELINE,MR MALVIN CHAN HUAN JIAN,MR SNG CHIN SENG,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
HOLY INNOCENTS' HIGH SCHOOL,http://www.holyinnocentshigh.moe.edu.sg,1191 UPPER SERANGOON ROAD,534786,62833381,na,62831737,na,HIHS@MOE.EDU.SG,HOUGANG MRT,"27, 72, 74, 80, 87, 89, 101, 107, 113, 116, 119, 132, 136, 147, 153, 161, 165, 324, 325",MRS REBECCA CHEW,MR NG CHENG SONG JEREMY,MR CHIA KENG HWEE,NULL,NULL,NULL,NULL,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
HOLY INNOCENTS' PRIMARY SCHOOL,http://www.holyinnocentspri.moe.edu.sg/,5    Lorong Low Koon,536451,62886516,na,62876393,na,HOLYINNOCENTSPRI@MOE.EDU.SG,2km walk to Hougang MRT,"51,72,80,101,119,132,136,153.",MISS SEET ENG GEOK LENA,MS KOH CHIOW TEE THERESA,MDM YUE  SHARON,NULL,NULL,NULL,NULL,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
HONG WEN SCHOOL,http://www.hongwen.moe.edu.sg,30   TOWNER ROAD,327829,62943340,na,62937625,na,hws@moe.edu.sg,Boon Keng MRT,"Serangoon Road: 13, 23, 31, 64, 65, 66, 125, 133, 147, 857, 985 Balestier Road: 21, 125, 130, 139, 145",MRS THERESA HONG-NG,MR LIM CHONG ENG,NULL,NULL,NULL,NULL,NULL,KALLANG,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na
HORIZON PRIMARY SCHOOL,http://www.horizonpri.moe.edu.sg,61   Edgedale Plains,828819,67535411,na,67523971,na,horizon_ps@moe.edu.sg,Punggol MRT Station (NE17)  (LRT: Kadaloor [PE5] or Oasis [PE6]),"3, 50, 83, 85, 569",MDM GRACE HO LI JUN,MR OW EU GENE JOHN,MDM SENTHIL POONKODI D/O R K,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
HOUGANG PRIMARY SCHOOL,http://www.hougangpri.moe.edu.sg/,1    HOUGANG ST 93,534238,64897445,na,64897446,na,HOUGANG_PS@MOE.EDU.SG,"Ang Mo Kio, Buangkok, Hougang, Sengkang, Yio Chu Kang","SBS 43, 72, 88, 101, 109, 116, 156, 159, 325, 329","MR GOH WAI MIN, JASON",MISS LIEW PANG HAI,NULL,NULL,NULL,NULL,NULL,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
HOUGANG SECONDARY SCHOOL,http://www.hougangsec.moe.edu.sg,2    HOUGANG STREET 93,534256,63851990,na,63852015,na,HOUGANG_SS@MOE.EDU.SG,"HOUGANG MRT, BUANGKOK MRT","43, 88, 101, 109, 156, 159, 161, 325, 329",MR ARIVAZHAGAN MANICKAM,MRS YOONG JIN ING,MDM JESMINE CHUNG KAH MIN,NULL,NULL,NULL,NULL,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
HUA YI SECONDARY SCHOOL,http://www.huayisec.moe.edu.sg,60   JURONG WEST ST 42,649371,65634568,na,65634505,na,HYSS@MOE.EDU.SG,"LAKESIDE MRT, CHINESE GARDEN MRT","49, 98, 98B, 98M, 99, 157, 185, 187, 198, 198A, 334, 335, 502",MISS GWEE SU PIN SANDRA,MDM KHOO HENG OI CATHERINE,MDM TAN KAY BIN,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
HUAMIN PRIMARY SCHOOL,http://www.huaminpri.moe.edu.sg,21   YISHUN AVENUE 11,768857,67529004,na,67552455,na,huamin_ps@moe.edu.sg,Yishun MRT Station,"806, 804",MDM NOORISMAWATY BTE ISMAIL,MDM BALAKRISHNAN CORINNE ANNE,NULL,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
HWA CHONG INSTITUTION,http://www.hwachong.edu.sg,661  BUKIT TIMAH ROAD,269734,64683955,64683956 / 64665912,67695857,na,admin@hci.edu.sg,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 170A, 174, 852, 961, 961M",MR PANG CHOON HOW,DR LIM HONG SENG MELVYN,MR CHAN KWOK LEONG,MRS CHIN-LEOW BEE KUAN,DR CHUNG WEN CHEE,NULL,NULL,BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,No,No,Yes,Chinese,na,na
INNOVA PRIMARY SCHOOL,http://www.innovapri.moe.edu.sg/,80   Woodlands Drive 17,737888,68944693,na,68942573,na,innova_pri@moe.edu.sg,Woodlands,"900A (weekdays only - 7.00 am to 8.30 am & 4.30 pm to 6.30 pm), 901",MISS WINDERSALAM SHYAMALA DEVI,MDM TAY GEK KHIM,MR LAU YEAN HUI,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
JIEMIN PRIMARY SCHOOL,http://www.jieminpri.moe.edu.sg,2    YISHUN STREET 71,768515,67586472,na,67559958,na,jiemin_ps@moe.edu.sg,Yishun MRT Station,"167,169,171,800,811,000,000,000,000,000,000",MR ANDY MICKEY CHOONG TEK CHOY,MRS NUR FATIMAH FRAUDER,MISS WONG KAH WAN JOY,NULL,NULL,NULL,NULL,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
JING SHAN PRIMARY SCHOOL,http://www.jingshanpri.moe.edu.sg,5    ANG MO KIO ST 52,569228,64566305,na,64581619,na,jsps@moe.edu.sg,Ang Mo Kio MRT,Bus 265,MDM BOEY HUEY PENG SHARON,MISS REZIA RAHUMATHULLAH,MISS NG SUAT THENG ANGELA,NULL,NULL,NULL,NULL,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
JUNYUAN PRIMARY SCHOOL,https://junyuanpri.moe.edu.sg,2    Tampines Street 91,528906,67830375,na,67887395,na,JUNYUAN_PS@MOE.EDU.SG,Tampines West (Downtown Line); Tampines (East-West Line),"76281: 22, 46, 129 76061: 10, 15, 20, 21, 23, 27, 31, 34, 39, 65, 67, 168, 292 75051: 5, 8, 18, 28, 59, 118",MR CHAN WENG CHEONG,MDM HO LAY YEN JENNY,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
JUNYUAN SECONDARY SCHOOL,http://www.junyuansec.moe.edu.sg,11   TAMPINES STREET 84,528933,65873683,na,65873682,na,JUNYUAN_SS@MOE.EDU.SG,"TAMPINES MRT, TAMPINES WEST MRT","69, 291, 293",MR MOHAMED RAZALI B ABDUL HAMED,MR NG CHENG KEONG,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
JURONG PIONEER JUNIOR COLLEGE,http://jpjc.moe.edu.sg,21   Teck Whye Walk,688258,+65 6564 6878,na,+65 6765 1861,na,jpjc@moe.edu.sg,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",DR HANG KIM HOO,MISS YEO SIOK EE,MR NAH HONG LEONG,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil
JURONG PRIMARY SCHOOL,http://www.jurongpri.moe.edu.sg,320  JURONG EAST Street 32,609476,65618837,na,65641964,na,JPS@MOE.EDU.SG,"Lakeside MRT Station, Jurong East MRT Station",333,MR ONG THIAM HUAT ROBIN,MR CHEN ZHONGYI,NULL,NULL,NULL,NULL,NULL,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
JURONG SECONDARY SCHOOL,http://www.jurongsec.moe.edu.sg,31   YUAN CHING ROAD,618652,62655980,na,62686414,na,JURONG_SS@MOE.EDU.SG,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",MDM TAY SU- CHIN (ZHENG SUZHEN),MISS TAN HUI MIN DEBORAH,MDM LER SIAH WOON JULIA,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
JURONG WEST PRIMARY SCHOOL,http://www.jurongwestpri.moe.edu.sg,30   JURONG WEST ST 61,648368,67933419,na,67936593,na,JWPS@MOE.EDU.SG,Pioneer MRT Station,192,MR CHRIS LOH KAI MUN,MR PILLAY P KRISHNAN,NULL,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
JURONG WEST SECONDARY SCHOOL,http://www.jurongwestsec.moe.edu.sg,61   JURONG WEST STREET 65,648348,62623593,na,62623587,na,JWSS@MOE.EDU.SG,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",MR MICHAEL MUHUNTHAN S/O SUBRAMANIAM,MRS ROSIE LAU @ MDM ROSIE LIM,NULL,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
JURONGVILLE SECONDARY SCHOOL,http://www.jurongvillesec.moe.edu.sg,202  JURONG EAST AVENUE 1,609790,65638704,na,65662137,na,JURONGVILLE@MOE.EDU.SG,"JURONG EAST MRT, CHINESE GARDEN MRT","98, 98M, 99, 157, 185, 187, 198, 334, 502",MR CHAN YEW WOOI,MR YONG KEK SHOONG,NULL,NULL,NULL,NULL,NULL,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
JUYING PRIMARY SCHOOL,http://www.juyingpri.moe.edu.sg/,31   JURONG WEST STREET 91,649037,67932039,na,67932040,na,JUYING_PS@MOE.EDU.SG,Boon Lay MRT Station (Jurong Point),SBS 99 (From Clementi Inter-change) SBS 241 (From Boon Lay Inter-change),MRS SROYA JASWANT,MDM SITI SUHAILA BTE SAPIHE,MDM WONG WEI YI,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
JUYING SECONDARY SCHOOL,http://juyingsec.moe.edu.sg,33   JURONG WEST STREET 91,649038,63089898,na,67932835,na,JUYING_SS@MOE.EDU.SG,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",MDM SOH BENG MUI,MR NG HAN MING,NULL,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil
KEMING PRIMARY SCHOOL,http://www.kemingpri.moe.edu.sg,90   BUKIT BATOK EAST AVENUE 6,659762,68962054,na,65632356,na,KMPS@MOE.EDU.SG,Bukit Batok,"61,66,77,106,157,174,178,963",MRS YAP DAI JEE,"MDM ANG CHAI TING, JESSIE",MISS SARASWATHY D/O IDAMBAN,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil
